Отметка времени,Возраст,Пол,Город,Position,Опыт работы в Европе (сколько лет),Опыт работы в целом (сколько лет),Текущая ЗП,ЗП год назад,Какая была первая ЗП в Европе,Какая по счету у вас сейчас работа в Европе,Основной язык на работе,Размер компании,Тип компании,Level
30.12.2015 11:48:42,26,m,Berlin,PHP developer,1,5,51000,39000,39000,2,English,больше 100,Продуктовая,
30.12.2015 11:56:36,31,m,Berlin,Senior PHP Developer,2,12,52000,40000,40000,1,English,10-50,Продуктовая,
30.12.2015 11:57:37,29,m,Berlin, Android Developer,1,5,65000,55000,55000,2,English,больше 100,Продуктовая,
30.12.2015 11:58:54,31,m,Berlin,Project manager ,1,5,55000,24000,55000,1,English,больше 100,Продуктовая,
30.12.2015 12:00:48,33,m,Berlin,Senior Software Engineer,16,16,75000,72000,65000,3,English,10-50,Стартап,
30.12.2015 12:03:58,28,m,Berlin,Javascript developer,1,8,50000,,50000,1,English,больше 100,Продуктовая,
30.12.2015 12:05:42,33,m,Berlin,Frontend Developer,1,9,58000,,58000,1,English,до 10 сотрудников,Стартап,
30.12.2015 12:05:46,31,m,Berlin,Java Dev,2,14,60000,50000,48000,4,English,больше 100,Продуктовая,
30.12.2015 12:10:55,35,m,Berlin,Mobile team lead,4,13,75000,63000,50000,2,English,10-50,Продуктовая,
30.12.2015 12:11:02,36,m,Berlin,Infrastructure Developer (Python),0,15,56000,,56000,1,English,больше 100,Стартап,
30.12.2015 12:16:10,29,m,Berlin,Software Engenier,3,10,67000,63000,42000,2,English,больше 100,Продуктовая,
30.12.2015 12:23:35,32,m,Berlin,Sr iOS Developer,2,7,56000,49000,42000,1,English,больше 100,Продуктовая,
30.12.2015 12:31:34,33,m,Berlin,Sr Front End,1,8,55000,42000,,1,English,50-100,Продуктовая,
30.12.2015 12:41:10,37,m,Karlsruhe,Software Test Engineer,4,11,43000,42000,36000,2,Deutsch,больше 100,Продуктовая,
30.12.2015 12:48:07,26,m,Berlin,PHP Developer,0.5,7,40000,-,40000,1,English,50-100,Стартап,
30.12.2015 12:47:59,28,m,Berlin,Software Engineer,2,10,75000,62000,60000,1,English,больше 100,Продуктовая,
30.12.2015 12:48:24,31,m,Berlin,lead developer,2,10,72000,65000,55000,2,English,10-50,Стартап,
30.12.2015 12:52:20,34,m,Berlin,Senior Software Engineer,4,10,63600,54000,24000,2,English,10-50,Стартап,
30.12.2015 13:01:06,25,m,Hamburg,Head of Engineering,2,5,90000,60000,45000,1,English,больше 100,Продуктовая,
30.12.2015 13:02:46,29,m,Berlin,Full Stack Developer,7,7,60000,60000,32000,5,Deutsch,10-50,Агентство,
30.12.2015 13:08:48,31,m,Berlin,Android Developer,5,5,48000,42000,30000,5,Deutsch,50-100,Продуктовая,
30.12.2015 13:16:00,36,m,Berlin,.Net Developer,7,7,48000,46000,32000,5,Deutsch,больше 100,Другое,
30.12.2015 13:16:37,30,f,Berlin,Senior Consultant big Four ,5,11,52000,50000,32400,2,Deutsch,больше 100,Другое,
30.12.2015 13:22:35,35,m,Berlin,Senior Software Engineer,1,9,62000,62000,62000,1,other,больше 100,Другое,
30.12.2015 13:40:05,30,m,Berlin,System Administrator/Devops,0.696,10,55000,42000,42000,2,English,50-100,Стартап,
30.12.2015 13:47:52,34,m,Berlin,Senior Developer,3,12,72000,64000,54000,1,English,10-50,Продуктовая,
30.12.2015 13:54:12,32,m,Berlin,PPP Team lead,0.5,7,60000,55000,55000,2,English,10-50,Стартап,
30.12.2015 14:00:03,25,m,Berlin,Senior QA Engineer,1,5,40000,-,40000,1,English,больше 100,Продуктовая,
30.12.2015 14:34:22,30,m,Berlin,Data Engineer ,0.5,0.5,60000,60000,60000,1,English,50-100,Продуктовая,
30.12.2015 14:40:24,27,m,Berlin,Senior PHP Developer,3,8,60000,60000,45000,2,English,больше 100,Продуктовая,
30.12.2015 14:41:36,33,m,Dortmund,Senior Software Engineer,1,12,50000,50000,50000,1,English,50-100,Продуктовая,
30.12.2015 14:49:01,26,m,Berlin,Ruby develoer,1,4,48000,42000,42000,1,English,до 10 сотрудников,Стартап,
30.12.2015 15:08:35,31,m,Berlin,Senior Web Developer,1,8,50000,50000,50000,1,Deutsch,10-50,Стартап,
30.12.2015 15:27:57,30,m,Berlin,Senior PHP developer,2,8,52000,55000,55000,2,English,50-100,Продуктовая,
30.12.2015 15:42:54,27,m,Berlin,Senior Frontend Engineer,1,8,60000,54000,54000,1,English,больше 100,Продуктовая,
30.12.2015 15:45:49,31,m,Berlin,Senior Python Developer,1,8,54000,48000,48000,1,English,10-50,Агентство,
30.12.2015 16:03:55,34,m,Berlin,Senior Java Developer,8,14,57000,57000,42000,3,Deutsch,больше 100,Другое,
30.12.2015 16:29:09,28,m,Frankfurt,Ruby developer,0,8,51000,,51000,1,English,50-100,Продуктовая,
30.12.2015 16:51:51,26,m,Berlin,,,,67000,44000,44000,2,English,больше 100,Продуктовая,
30.12.2015 17:09:34,29,m,Berlin,Lead Software Engineer,2.5,9,70000,56000,56000,2,English,больше 100,Другое,
30.12.2015 17:30:00,27,m,Berlin,Senior Android Developer,5,5,72000,60000,,2,English,больше 100,Стартап,
30.12.2015 17:59:06,32,m,Berlin,Senior Product Manager,1,10,65000,65000,65000,1,English,10-50,Продуктовая,
30.12.2015 20:11:47,25,f,Berlin,Junior Python Developer,1,2,38000,10000,10000,2,English,больше 100,Стартап,
30.12.2015 20:50:45,30,m,Berlin,Senior Product Manager,5,10,95000,92000,66000,3,English,больше 100,Стартап,
30.12.2015 21:37:10,26,m,Berlin,Senior iOS Engineer,3,6,85000,85000,46000,2,English,50-100,Продуктовая,
30.12.2015 21:41:41,30,m,Berlin,Senior Lead Software Engineer,"0,5",11,60000,,54000,1,English,10-50,Стартап,
30.12.2015 21:42:59,29,m,,Senior Software Developer,3,9,66000,,45000,3,Deutsch,больше 100,Продуктовая,
30.12.2015 21:43:45,25,m,Berlin,Software Developer,"1,5",4,38400,37200,37200,1,Deutsch,10-50,Другое,
30.12.2015 21:52:39,29,m,,Softwareentwickler im Test,3,6,44000,43000,40000,1,Deutsch,больше 100,Продуктовая,
30.12.2015 22:40:17,34,m,Berlin,Senior Ruby Developer,1,12,56000,48000,48000,1,English,10-50,Продуктовая,
30.12.2015 22:59:07,25,m,Berlin,Senior Ruby Dev,1,7,48000,,48000,1,English,10-50,Продуктовая,
30.12.2015 23:06:30,26,m,Berlin,Embedded Software Engineer,1,4,54000,50000,50000,1,English,10-50,Стартап,
30.12.2015 23:42:40,37,m,Berlin,Senior Algorithmic Developer,2,12,68000,65000,65000,2,English,больше 100,Продуктовая,
31.12.2015 1:19:13,37,m,Berlin,Senior Software Developer,10,12,50000,50000,42000,3,Deutsch,больше 100,Другое,
31.12.2015 1:47:21,,m,,Developer,25,40,40000,40000,,,,,,
31.12.2015 9:59:12,25,f,Berlin ,Mobile Developer ,4,4,50000,32000,28000,2,English,больше 100,Стартап,
31.12.2015 11:05:49,28,m,Berlin,Senior QA Analyst,1,7,45000,65000,65000,2,English,больше 100,Продуктовая,
31.12.2015 13:17:50,30,m,Berlin,Senior .NET/JS Developer,2,9,44000,38000,36000,1,English,больше 100,Продуктовая,
31.12.2015 13:28:57,30,m,Bonn,Information Security Consultant,3,7,43000,41000,38000,1,Deutsch,50-100,Другое,Диапазон: от 40 до 97000. Большинство значений варьируется на уровне 56800 ± 8790.
31.12.2015 14:49:31,31,f,Berlin,Salesforce Developer,3,7,58000,45000,36000,2,English,больше 100,Стартап,
31.12.2015 15:12:47,29,m,Fürth,Java Developer,5,11,60000,60000,20000,3,Deutsch,10-50,Другое,
31.12.2015 17:40:06,29,m,Berlin,Senior PHP Developer,0,4,48000,22000,48000,1,English,50-100,Стартап,
31.12.2015 22:28:18,38,m,Berlin,Senior Software Engineer,2.5,15,55000,50400,50400,1,English,до 10 сотрудников,Стартап,
01.01.2016 18:26:44,27,m,Berlin,Senior Java Developer,0.5,7,55000,,55000,1,English,больше 100,Стартап,
01.01.2016 20:03:09,26,m,München,Senior Software Engineer,3,9,75000,60000,50000,2,English,больше 100,Продуктовая,
01.01.2016 20:08:42,24,m,Berlin,Software Developer,0,3,52000,52000,52000,1,English,больше 100,Продуктовая,
01.01.2016 20:13:58,38,m,Berlin,frontend developer,0.5,13,53000,50000,50000,1,English,больше 100,Стартап,
01.01.2016 20:53:41,32,m,Berlin,Senior PHP Developer,2,11,60000,50000,50000,2,English,50-100,Продуктовая,
01.01.2016 22:25:28,29,m,München,Php developer,1,5,55000,45000,45000,1,English,больше 100,Продуктовая,
01.01.2016 22:33:51,26,m,München,Android developer,3,5,63000,52000,44000,2,English,больше 100,Продуктовая,
01.01.2016 22:39:35,26,m,Berlin,Senior PHP Developer,2,6,50000,48000,36000,3,English,больше 100,Продуктовая,
01.01.2016 22:45:26,28,m,Nürnberg,Ruby and Rails Developer,1,9,48000,48000,48000,1,English,больше 100,Продуктовая,
01.01.2016 22:51:02,26,m,Berlin,Senior Frontend Developer,3,5,55000,47000,42000,3,English,10-50,Стартап,
01.01.2016 22:57:27,32,f,München,Software engineer,8,8,76000,70000,38000,3,English,50-100,Стартап,
01.01.2016 22:58:53,29,m,Штутгарт,Senior .NET Developer,0,8,60000,,60000,1,Deutsch,до 10 сотрудников,Другое,
01.01.2016 23:08:38,29,m,München,Advanced Java developer ,1,8,55000,,55000,1,Deutsch,больше 100,Продуктовая,
01.01.2016 23:27:32,25,m,Hamburg,Senior frontend developer,0.2,5.5,50000,,50000,1,English,больше 100,Продуктовая,
01.01.2016 23:44:46,27,m,München,Web developer,"0,3",6,52000,,52000,1,English,50-100,Продуктовая,
02.01.2016 4:41:15,30,m,München,IT Project Manager,0.5,10,65000,40000,40000,2,English,больше 100,Другое,
02.01.2016 7:35:45,40,m,München,Front-end developer,0.5,11,43200,43200,60000,2,English,50-100,Агентство,
02.01.2016 7:54:38,25,f,München,qa manager,1,4,48000,,,1,English,больше 100,Продуктовая,
02.01.2016 10:16:53,29,f,Berlin ,Frontend developer,0,6,38000,12000,38000,1,English,10-50,Стартап,
02.01.2016 10:25:47,35,m,München,Senior Softwareentwickler,2,8,62000,36000,36000,2,English,больше 100,Продуктовая,
02.01.2016 10:29:50,30,m,München,Senior Qa Manager ,1,10,67000,65000,65000,1,English,больше 100,Продуктовая,
02.01.2016 12:41:15,31,m,München,Senior iOS Developer,3,10,76000,56000,56000,2,Deutsch,больше 100,Продуктовая,
02.01.2016 19:32:06,30,m,München,Senior Java dev,3,10,60000,50000,35000,2,English,больше 100,Продуктовая,
02.01.2016 19:33:09,30,m,München,Senior Java dev,3,10,60000,50000,35000,2,English,больше 100,Продуктовая,
02.01.2016 20:45:23,28,m,Berlin,Senior backend developer (PHP),1,7,52000,48000,48000,1,English,больше 100,Другое,
02.01.2016 20:46:55,28,m,Berlin,Senior backend developer (PHP),1,7,52000,48000,48000,1,English,больше 100,Другое,
02.01.2016 22:46:38,29,m,,Senior Software Developer,3,9,66000,64000,45000,2,Deutsch,больше 100,Продуктовая,
02.01.2016 22:54:11,30,m,München,Senior Full stack,3,10,65000,65000,65000,1,English,больше 100,Продуктовая,
02.01.2016 23:55:28,38,m,München,Senior Software Developer,13,16,74500,71500,42000,3,Deutsch,больше 100,Продуктовая,
03.01.2016 0:42:04,42,m,München,Senior Manager,15,20,97000,96000,42000,4,English,больше 100,Продуктовая,
03.01.2016 4:57:30,40,f,Berlin,,1,20,20000,12000,12000,1,Deutsch,до 10 сотрудников,Стартап,
03.01.2016 10:32:55,27,m,Berlin,Frontend developer,1,5,45000,41000,41000,1,English,10-50,Стартап,
03.01.2016 11:57:47,25,m,Hamburg,QA Engineer,"2,5",5,47000,,42000,2,English,больше 100,Продуктовая,
03.01.2016 11:58:54,28,m,Berlin,Frontend Developer,6,8,75000,55000,55000,2,English,больше 100,Стартап,
03.01.2016 12:13:05,28,m,Berlin,Ruby Dev,4,9,70000,60000,42000,1,English,10-50,Стартап,
03.01.2016 12:29:53,29,m,Berlin,.NET Developer,2,6,52000,47000,47000,1,English,50-100,Продуктовая,
03.01.2016 17:45:30,30,m,Hamburg,Software Engineer,2,9,75000,57000,57000,2,English,больше 100,Другое,
03.01.2016 20:36:31,26,m,Berlin,Frontend Developer,1.5,1.5,60000,51000,51000,1,English,больше 100,Стартап,
04.01.2016 9:46:45,31,m,Berlin,python engineer,1,8,50000,,50000,1,English,10-50,Продуктовая,
04.01.2016 12:19:40,29,m,Berlin,front-end developer,0,4,55000,,,1,English,больше 100,Продуктовая,
04.01.2016 12:43:25,36,m,Berlin,Senior PHP Developer,5,15,60000,50000,50000,2,English,до 10 сотрудников,Стартап,
04.01.2016 12:56:35,29,m,Berlin,Senior DevOps Engineer,0,8,72000,,66000,1,English,больше 100,Другое,
04.01.2016 13:03:24,29,m,Berlin,DevOps,1,7,50000,48000,48000,1,English,больше 100,Стартап,
04.01.2016 13:15:33,25,m,Berlin,Software Engineer,1,7,50000,50000,50000,1,English,10-50,Продуктовая,
04.01.2016 13:38:12,32,m,Berlin,Senior DevOps,0,10,65000,46200,65000,2,English,50-100,Стартап,
04.01.2016 14:08:08,27,m,Berlin,Product Manager,<1,3,48000,40000,48000,1,English,10-50,Стартап,
04.01.2016 17:02:51,34,m,München,PHP Developer,4,10,51000,51000,36000,3,English,10-50,Стартап,
04.01.2016 17:15:04,31,m,Berlin,Senior Front-end developer,1.5,6,53500,50000,50000,1,English,10-50,Продуктовая,
04.01.2016 17:43:04,29,m,München,Senior PHP Developer,1,10,55000,55000,55000,1,English,больше 100,Стартап,
04.01.2016 19:32:59,32,m,Essen,Senior .Net Developer,7,7,64000,62000,36000,3,Deutsch,50-100,Продуктовая,
04.01.2016 23:20:29,31,m,Berlin,Senior JavaScript Developer,0.5,10,41000,,41000,1,English,10-50,Стартап,
05.01.2016 0:06:04,26,m,,phpp developer,1,5,48000,,48000,1,English,10-50,Стартап,
05.01.2016 9:21:46,28,m,München,iOS Developer,1,6,57000,45000,45000,2,English,50-100,Продуктовая,
