Отметка времени,Возраст,Пол,Город,Position,Опыт работы в Европе (сколько лет),Опыт работы в целом (сколько лет),Текущая ЗП,ЗП год назад,Какая была первая ЗП в Европе,Какая по счету у вас сейчас работа в Европе,Основной язык на работе,Размер компании,Тип компании,Уровень,,,,,
13.12.2016 14:19:20,29,m,Berlin,Fullstack Ruby Developer,1,6,54000,48000,48000,1,English,50-100,Стартап,Senior,,,,,
13.12.2016 14:21:41,31,m,Frankfurt,Developer,7,12,62000,62000,39000,1,Deutsch,больше 100,Агентство,Senior,,,,,
13.12.2016 14:20:36,30,m,Berlin,Frontend Engineer,1,4,65000,55000,55000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:21:46,33,m,Berlin,Tech Lead,3,12,60000,55000,50000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:24:20,27,m,Berlin,Python Developer,1,5,54000,50000,50000,1,English,10-50,Стартап,Middle,,,,,
13.12.2016 14:26:10,38,m,Berlin,Web Developer,2,17,58000,45600,45600,2,English,больше 100,Агентство,Senior,,,,,
13.12.2016 14:27:03,30,m,Berlin,Android Developer,2,7,65000,55000,55000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:28:04,30,m,Berlin,PHP Developer,1,8,56000,56000,56000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:30:28,29,m,Berlin,Senior Web Developer,1,10,60000,48600,48600,2,English,больше 100,Стартап,Senior,,,,,
13.12.2016 14:31:06,30,m,Berlin,QA Engineer,1,8,60000,52000,52000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:35:58,26,m,Berlin,Frontend SE,2,5,67000,48000,48000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:36:57,30,m,Berlin,Back-end Developer,1,12,55000,55000,55000,1,English,больше 100,Другое,Senior,,,,,
13.12.2016 14:40:25,31,m,Berlin,Senior Devops Engineer,1,10,60000,55000,42000,3,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 14:42:33,34,m,Berlin,Mobile Team Lead,1,11,72000,72000,72000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:42:53,22,m,Berlin,Senior Software Engineer,0,2,60000,60000,60000,1,English,больше 100,Стартап,Senior,,,,,
13.12.2016 14:44:15,32,m,Berlin,Frontend,1,10,51000,51000,51000,1,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 14:50:06,24,m,Berlin,Front-end developer,1,4,51000,40000,51000,1,English,50-100,Стартап,Middle,,,,,
13.12.2016 14:50:26,32,m,Berlin,PHP Developer,1,10,60000,60000,42000,2,English,,Продуктовая,Senior,,,,,
13.12.2016 14:53:01,28,m,München,Senior iOS Engineer,0,5,66000,66000,66000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:53:09,24,m,Leipzig,PHP Developer,0,3,44000,44000,44000,1,Deutsch,10-50,Агентство,Middle,,,,,
13.12.2016 14:53:49,31,m,Pforzheim,Java Developer,4,10,62000,55000,45000,1,Deutsch,50-100,Продуктовая,Middle,,,,,
13.12.2016 14:53:56,25,f,Ber,QA,2,4,45000,24000,18000,2,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 14:55:03,35,m,Berlin,Senior Systems Engineer,0,14,70000,70000,70000,1,English,больше 100,Стартап,Senior,,,,,
13.12.2016 14:55:24,35,m,München,Java Developer,1,11,70000,70000,70000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:56:01,36,m,Berlin,Sales Manager,1,6,45000,34000,45000,1,English,10-50,Другое,Middle,,,,,
13.12.2016 14:57:37,33,m,Berlin,.NET developer,2,15,52000,47000,47000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 14:57:26,27,m,Berlin,Data Scientist,3,6,65000,55000,40000,2,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 14:57:26,24,m,München,Java Developer (AEM),1,3,47000,47000,47000,1,English,больше 100,Аутсорс (ну а вдруг),Junior,,,,,
13.12.2016 14:58:28,30,m,München,.NET Developer,0,5,60000,60000,60000,1,English,больше 100,Продуктовая,,,,,,
13.12.2016 14:58:54,27,m,Berlin,Data Engineer,1,7,55000,48000,48000,2,English,больше 100,Стартап,Senior,,,,,
13.12.2016 14:59:19,24,m,München,Software Developer,1,5,55000,40000,40000,1,English,10-50,Стартап,Middle,,,,,
13.12.2016 14:59:30,32,m,Berlin,Mobile Developer,1,14,48000,48000,48000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 15:00:04,21,m,München,Scala developer,0,4,65000,65000,65000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:03:18,27,f,Berlin,PHP Developer,1,2,40000,40000,40000,1,English,больше 100,Стартап,Middle,,,,,
13.12.2016 15:03:19,31,m,München,sysadmin,1,11,65000,52000,65000,1,Deutsch,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:04:41,29,m,Berlin,Backend Developer,2,8,52000,48000,48000,1,English,больше 100,Другое,Senior,,,,,
13.12.2016 15:03:50,27,m,München,QA Automation Engineer,1,6,60000,60000,60000,1,English,50-100,Продуктовая,Senior,,,,,
13.12.2016 15:04:52,28,m,München,Java Developer,1,5,62000,62000,62000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:05:47,30,m,Berlin,Head of Engineering,2,13,72000,52000,50000,1,English,10-50,Продуктовая,,,,,,
13.12.2016 15:07:13,33,m,Berlin,Senior Developer,2,11,58000,50000,50000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:07:15,31,m,Berlin,PHP Developer,3,10,67000,65000,65000,3,English,10-50,Стартап,Senior,,,,,
13.12.2016 15:08:48,27,m,München,Project Manager,1,5,45000,45000,45000,1,English,больше 100,Другое,Junior,,,,,
13.12.2016 15:10:31,22,m,München,Student Trainee Web Developer,1,2,19600,19600,19600,1,English,10-50,Продуктовая,Junior,,,,,
13.12.2016 15:13:23,32,f,München,Project coordinator,1,10,40000,38000,38000,1,English,больше 100,Другое,,,,,,
